Date,EUROSTOXX,Cases
3/9/2020,2959.07,2756
3/10/2020,2910.02,2469
3/11/2020,2905.56,4181
3/12/2020,2545.23,2928
3/13/2020,2586.02,9679
3/16/2020,2450.37,9900
3/17/2020,2530.5,9570
3/18/2020,2385.82,12017
3/19/2020,2454.08,16182
3/20/2020,2548.5,16896
3/23/2020,2485.54,21528
3/24/2020,2715.11,19354
3/25/2020,2800.14,25437
3/26/2020,2847.78,29930
3/27/2020,2728.65,29039
3/30/2020,2765.62,24905
3/31/2020,2786.9,28681
4/1/2020,2680.3,28076
4/2/2020,2688.49,26264
4/3/2020,2662.99,28407
4/6/2020,2795.97,18171
4/7/2020,2857.67,13240
4/8/2020,2851.27,23717
4/9/2020,2892.79,22756
4/14/2020,2917.74,27379
4/15/2020,2808.2,19695
4/16/2020,2812.35,30985
4/17/2020,2888.3,18919
4/20/2020,2909.5,11620
4/21/2020,2791.34,13766
4/22/2020,2834.9,14940
4/23/2020,2852.46,11628
4/24/2020,2809.07,1317
4/27/2020,2882.09,9976
4/28/2020,2932.06,9262
4/29/2020,2996.08,6204
4/30/2020,2927.93,7387
5/4/2020,2816.48,4035
5/5/2020,2875.91,5479
5/6/2020,2843.76,9236
5/7/2020,2880.6,6532
5/8/2020,2908.11,6210
5/11/2020,2883.75,5686
5/12/2020,2884.2,4366
5/13/2020,2810.55,3947
5/14/2020,2760.23,4278
5/15/2020,2770.7,3873
5/18/2020,2911.88,2760
5/19/2020,2902.58,3703
5/20/2020,2942.39,3186
5/21/2020,2904.98,2937
5/22/2020,2905.47,4869
5/25/2020,2971.35,1295
5/26/2020,2999.22,2691
5/27/2020,3051.08,1904
5/28/2020,3094.47,7169
5/29/2020,3050.2,3352
6/1/2020,3077.92,1500
6/2/2020,3159.02,716
6/3/2020,3269.59,-1615
6/4/2020,3261.67,5937
6/5/2020,3384.29,2820
6/8/2020,3366.29,1667
6/9/2020,3320.71,2238
6/10/2020,3293.71,1867
6/11/2020,3144.57,2081
6/12/2020,3153.74,2683
6/15/2020,3136.4,1442
6/16/2020,3242.65,2261
6/17/2020,3267.26,2186
6/18/2020,3249.9,3437
6/19/2020,3269.1,2159
6/22/2020,3241.69,1487
6/23/2020,3298.83,2533
6/24/2020,3196.12,2209
6/25/2020,3218.91,2081
6/26/2020,3204.17,3392
6/29/2020,3232.02,1868
6/30/2020,3234.07,1750
7/1/2020,3228.45,2734
7/2/2020,3320.09,2361
7/3/2020,3294.38,2432
7/6/2020,3350.03,3504
7/7/2020,3321.56,1729
7/8/2020,3286.09,2574
7/9/2020,3261.17,2408
7/10/2020,3296.22,3062
7/13/2020,3350,4413
7/14/2020,3321.39,1766
7/15/2020,3378.21,3071
7/16/2020,3365.35,3897
7/17/2020,3365.6,4150
7/20/2020,3388.34,8143
7/21/2020,3405.35,3251
7/22/2020,3370.76,4273
7/23/2020,3371.74,5771
7/24/2020,3310.89,5561
7/27/2020,3302.84,10353
7/28/2020,3303.56,4085
7/29/2020,3300.16,6260
7/30/2020,3208.2,7364
7/31/2020,3174.32,7392
8/3/2020,3248.28,14181
8/4/2020,3254.29,8981
8/5/2020,3268.38,8018
8/6/2020,3240.39,9403
8/7/2020,3252.65,10915
8/10/2020,3259.71,16522
8/11/2020,3332.12,7840
8/12/2020,3363.18,10581
8/13/2020,3342.85,14452
8/14/2020,3305.05,13178
8/17/2020,3305.85,20282
8/18/2020,3289.64,11150
8/19/2020,3317.62,15014
8/20/2020,3273.98,16956
8/21/2020,3259.75,18308
8/24/2020,3331.74,25635
8/25/2020,3329.71,14766
8/26/2020,3356.76,12876
8/27/2020,3331.04,26527
8/28/2020,3315.54,21394
8/31/2020,3272.51,30805
9/1/2020,3277.58,17331
9/2/2020,3337.77,21033
9/3/2020,3304.22,21758
9/4/2020,3260.59,25341
9/7/2020,3314.07,36067
9/8/2020,3267.37,21495
9/9/2020,3324.83,24205
9/10/2020,3312.77,27924
