Date,Cases
8/3/2020,209
9/3/2020,420
10/3/2020,493
11/3/2020,514
12/3/2020,748
13/03/2020,911
14/03/2020,1231
15/03/2020,2202
16/03/2020,2349
17/03/2020,3222
18/03/2020,4903
19/03/2020,6174
20/03/2020,7437
21/03/2020,9218
22/03/2020,10868
23/03/2020,10728
24/03/2020,11351
25/03/2020,14160
26/03/2020,18772
27/03/2020,20039
28/03/2020,20635
29/03/2020,26334
30/03/2020,15831
31/03/2020,23296
1/4/2020,28348
2/4/2020,30045
3/4/2020,31838
4/4/2020,32492
5/4/2020,27478
6/4/2020,28584
7/4/2020,30225
8/4/2020,33682
9/4/2020,34988
10/4/2020,31920
11/4/2020,32207
12/4/2020,27798
13/04/2020,24932
14/04/2020,25186
15/04/2020,25379
16/04/2020,31821
17/04/2020,29778
18/04/2020,27600
19/04/2020,27884
20/04/2020,25811
21/04/2020,25455
22/04/2020,31434
23/04/2020,32997
24/04/2020,34130
25/04/2020,33375
26/04/2020,27234
27/04/2020,24218
28/04/2020,23487
29/04/2020,27205
30/04/2020,32425
1/5/2020,30225
2/5/2020,28396
3/5/2020,27841
4/5/2020,21179
5/5/2020,23206
6/5/2020,24303
7/5/2020,30615
8/5/2020,28045
9/5/2020,25967
10/5/2020,21651
11/5/2020,19299
12/5/2020,24260
13/05/2020,17740
14/05/2020,34533
15/05/2020,27119
16/05/2020,25303
17/05/2020,19225
18/05/2020,24690
19/05/2020,20691
20/05/2020,24490
21/05/2020,25523
22/05/2020,26029
23/05/2020,20979
24/05/2020,21765
25/05/2020,19149
26/05/2020,16953
27/05/2020,20368
28/05/2020,24198
29/05/2020,23554
30/05/2020,23710
31/05/2020,21206
1/6/2020,17358
2/6/2020,20731
3/6/2020,21109
4/6/2020,20712
5/6/2020,24424
6/6/2020,23573
7/6/2020,17781
8/6/2020,18038
9/6/2020,18595
10/6/2020,22483
11/6/2020,22688
12/6/2020,28747
13/06/2020,26007
14/06/2020,20620
15/06/2020,20588
16/06/2020,24926
17/06/2020,25603
18/06/2020,28760
19/06/2020,33309
20/06/2020,33339
21/06/2020,27327
22/06/2020,28698
23/06/2020,37921
24/06/2020,37431
25/06/2020,47010
26/06/2020,46553
27/06/2020,43618
28/06/2020,37797
29/06/2020,38602
30/06/2020,46588
1/7/2020,59741
2/7/2020,55608
3/7/2020,60292
4/7/2020,49595
5/7/2020,40419
6/7/2020,51214
7/7/2020,56061
8/7/2020,65378
9/7/2020,62316
10/7/2020,68569
11/7/2020,68135
12/7/2020,59644
13/07/2020,56542
14/07/2020,65004
15/07/2020,72309
16/07/2020,70183
17/07/2020,77085
18/07/2020,67797
19/07/2020,59921
20/07/2020,59017
21/07/2020,63328
22/07/2020,72662
23/07/2020,74061
24/07/2020,73914
25/07/2020,61083
26/07/2020,59006
27/07/2020,53265
28/07/2020,59193
29/07/2020,65130
30/07/2020,67146
31/07/2020,68823
1/8/2020,56417
2/8/2020,51460
3/8/2020,45304
4/8/2020,51918
5/8/2020,56252
6/8/2020,55160
7/8/2020,62142
8/8/2020,52083
9/8/2020,46359
10/8/2020,44149
11/8/2020,59189
12/8/2020,55545
13/08/2020,52153
14/08/2020,56242
15/08/2020,51556
16/08/2020,41920
17/08/2020,41818
18/08/2020,41715
19/08/2020,47290
20/08/2020,47058
21/08/2020,47713
22/08/2020,41842
23/08/2020,37081
24/08/2020,36026
25/08/2020,40926
26/08/2020,47496
27/08/2020,47226
28/08/2020,46937
29/08/2020,41020
