DATE,DJIA
02/01/2019,23346.24
03/01/2019,22686.22
04/01/2019,23433.16
07/01/2019,23531.35
08/01/2019,23787.45
09/01/2019,23879.12
10/01/2019,24001.92
11/01/2019,23995.95
14/01/2019,23909.84
15/01/2019,24065.59
16/01/2019,24207.16
17/01/2019,24370.1
18/01/2019,24706.35
22/01/2019,24404.48
23/01/2019,24575.62
24/01/2019,24553.24
25/01/2019,24737.2
28/01/2019,24528.22
29/01/2019,24579.96
30/01/2019,25014.86
31/01/2019,24999.67
01/02/2019,25063.89
04/02/2019,25239.37
05/02/2019,25411.52
06/02/2019,25390.3
07/02/2019,25169.53
08/02/2019,25106.33
11/02/2019,25053.11
12/02/2019,25425.76
13/02/2019,25543.27
14/02/2019,25439.39
15/02/2019,25883.25
19/02/2019,25891.32
20/02/2019,25954.44
21/02/2019,25850.63
22/02/2019,26031.81
25/02/2019,26091.95
26/02/2019,26057.98
27/02/2019,25985.16
28/02/2019,25916
01/03/2019,26026.32
04/03/2019,25819.65
05/03/2019,25806.63
06/03/2019,25673.46
07/03/2019,25473.23
08/03/2019,25450.24
11/03/2019,25650.88
12/03/2019,25554.66
13/03/2019,25702.89
14/03/2019,25709.94
15/03/2019,25848.87
18/03/2019,25914.1
19/03/2019,25887.38
20/03/2019,25745.67
21/03/2019,25962.51
22/03/2019,25502.32
25/03/2019,25516.83
26/03/2019,25657.73
27/03/2019,25625.59
28/03/2019,25717.46
29/03/2019,25928.68
01/04/2019,26258.42
02/04/2019,26179.13
03/04/2019,26218.13
04/04/2019,26384.63
05/04/2019,26424.99
08/04/2019,26341.02
09/04/2019,26150.58
10/04/2019,26157.16
11/04/2019,26143.05
12/04/2019,26412.3
15/04/2019,26384.77
16/04/2019,26452.66
17/04/2019,26449.54
18/04/2019,26559.54
22/04/2019,26511.05
23/04/2019,26656.39
24/04/2019,26597.05
25/04/2019,26462.08
26/04/2019,26543.33
29/04/2019,26554.39
30/04/2019,26592.91
01/05/2019,26430.14
02/05/2019,26307.79
03/05/2019,26504.95
06/05/2019,26438.48
07/05/2019,25965.09
08/05/2019,25967.33
09/05/2019,25828.36
10/05/2019,25942.37
13/05/2019,25324.99
14/05/2019,25532.05
15/05/2019,25648.02
16/05/2019,25862.68
17/05/2019,25764
20/05/2019,25679.9
21/05/2019,25877.33
22/05/2019,25776.61
23/05/2019,25490.47
24/05/2019,25585.69
28/05/2019,25347.77
29/05/2019,25126.41
30/05/2019,25169.88
31/05/2019,24815.04
03/06/2019,24819.78
04/06/2019,25332.18
05/06/2019,25539.57
06/06/2019,25720.66
07/06/2019,25983.94
10/06/2019,26062.68
11/06/2019,26048.51
12/06/2019,26004.83
13/06/2019,26106.77
14/06/2019,26089.61
17/06/2019,26112.53
18/06/2019,26465.54
19/06/2019,26504
20/06/2019,26753.17
21/06/2019,26719.13
24/06/2019,26727.54
25/06/2019,26548.22
26/06/2019,26536.82
27/06/2019,26526.58
28/06/2019,26599.96
01/07/2019,26717.43
02/07/2019,26786.68
03/07/2019,26966
05/07/2019,26922.12
08/07/2019,26806.14
09/07/2019,26783.49
10/07/2019,26860.2
11/07/2019,27088.08
12/07/2019,27332.03
15/07/2019,27359.16
16/07/2019,27335.63
17/07/2019,27219.85
18/07/2019,27222.97
19/07/2019,27154.2
22/07/2019,27171.9
23/07/2019,27349.19
24/07/2019,27269.97
25/07/2019,27140.98
26/07/2019,27192.45
29/07/2019,27221.35
30/07/2019,27198.02
31/07/2019,26864.27
01/08/2019,26583.42
02/08/2019,26485.01
05/08/2019,25717.74
06/08/2019,26029.52
07/08/2019,26007.07
08/08/2019,26378.19
09/08/2019,26287.44
12/08/2019,25907.37
13/08/2019,26279.91
14/08/2019,25479.42
15/08/2019,25579.39
16/08/2019,25886.01
19/08/2019,26135.79
20/08/2019,25962.44
21/08/2019,26202.73
22/08/2019,26252.24
23/08/2019,25628.9
26/08/2019,25898.83
27/08/2019,25777.9
28/08/2019,26036.1
29/08/2019,26362.25
30/08/2019,26403.28
03/09/2019,26118.02
04/09/2019,26355.47
05/09/2019,26728.15
06/09/2019,26797.46
09/09/2019,26835.51
10/09/2019,26909.43
11/09/2019,27137.04
12/09/2019,27182.45
13/09/2019,27219.52
16/09/2019,27076.82
17/09/2019,27110.8
18/09/2019,27147.08
19/09/2019,27094.79
20/09/2019,26935.07
23/09/2019,26949.99
24/09/2019,26807.77
25/09/2019,26970.71
26/09/2019,26891.12
27/09/2019,26820.25
30/09/2019,26916.83
01/10/2019,26573.04
02/10/2019,26078.62
03/10/2019,26201.04
04/10/2019,26573.72
07/10/2019,26478.02
08/10/2019,26164.04
09/10/2019,26346.01
10/10/2019,26496.67
11/10/2019,26816.59
14/10/2019,26787.36
15/10/2019,27024.8
16/10/2019,27001.98
17/10/2019,27025.88
18/10/2019,26770.2
21/10/2019,26827.64
22/10/2019,26788.1
23/10/2019,26833.95
24/10/2019,26805.53
25/10/2019,26958.06
28/10/2019,27090.72
29/10/2019,27071.42
30/10/2019,27186.69
31/10/2019,27046.23
01/11/2019,27347.36
04/11/2019,27462.11
05/11/2019,27492.63
06/11/2019,27492.56
07/11/2019,27674.8
08/11/2019,27681.24
11/11/2019,27691.49
12/11/2019,27691.49
13/11/2019,27783.59
14/11/2019,27781.96
15/11/2019,28004.89
18/11/2019,28036.22
19/11/2019,27934.02
20/11/2019,27821.09
21/11/2019,27766.29
22/11/2019,27875.62
25/11/2019,28066.47
26/11/2019,28121.68
27/11/2019,28164
29/11/2019,28051.41
02/12/2019,27783.04
03/12/2019,27502.81
04/12/2019,27649.78
05/12/2019,27677.79
06/12/2019,28015.06
09/12/2019,27909.6
10/12/2019,27881.72
11/12/2019,27911.3
12/12/2019,28132.05
13/12/2019,28135.38
16/12/2019,28235.89
17/12/2019,28267.16
18/12/2019,28239.28
19/12/2019,28376.96
20/12/2019,28455.09
23/12/2019,28551.53
24/12/2019,28515.45
26/12/2019,28621.39
27/12/2019,28645.26
30/12/2019,28462.14
31/12/2019,28538.44
02/01/2020,28868.8
03/01/2020,28634.88
06/01/2020,28703.38
07/01/2020,28583.68
08/01/2020,28745.09
09/01/2020,28956.9
10/01/2020,28823.77
13/01/2020,28907.05
14/01/2020,28939.67
15/01/2020,29030.22
16/01/2020,29297.64
17/01/2020,29348.1
21/01/2020,29196.04
22/01/2020,29186.27
23/01/2020,29160.09
24/01/2020,28989.73
27/01/2020,28535.8
28/01/2020,28722.85
29/01/2020,28734.45
30/01/2020,28859.44
31/01/2020,28256.03
03/02/2020,28399.81
04/02/2020,28807.63
05/02/2020,29290.85
06/02/2020,29379.77
07/02/2020,29102.51
10/02/2020,29276.82
11/02/2020,29276.34
12/02/2020,29551.42
13/02/2020,29423.31
14/02/2020,29398.08
18/02/2020,29232.19
19/02/2020,29348.03
20/02/2020,29219.98
21/02/2020,28992.41
24/02/2020,27960.8
25/02/2020,27081.36
26/02/2020,26957.59
27/02/2020,25766.64
28/02/2020,25409.36
02/03/2020,26703.32
03/03/2020,25917.41
04/03/2020,27090.86
05/03/2020,26121.28
06/03/2020,25864.78
09/03/2020,23851.02
10/03/2020,25018.16
11/03/2020,23553.22
12/03/2020,21200.62
13/03/2020,23185.62
16/03/2020,20188.52
17/03/2020,21237.38
18/03/2020,19898.92
19/03/2020,20087.19
20/03/2020,19173.98
23/03/2020,18591.93
24/03/2020,20704.91
25/03/2020,21200.55
26/03/2020,22552.17
27/03/2020,21636.78
30/03/2020,22327.48
31/03/2020,21917.16
01/04/2020,20943.51
02/04/2020,21413.44
03/04/2020,21052.53
06/04/2020,22679.99
07/04/2020,22653.86
08/04/2020,23433.57
09/04/2020,23719.37
13/04/2020,23390.77
14/04/2020,23949.76
15/04/2020,23504.35
16/04/2020,23537.68
17/04/2020,24242.49
20/04/2020,23650.44
21/04/2020,23018.88
22/04/2020,23475.82
23/04/2020,23515.26
24/04/2020,23775.27
27/04/2020,24133.78
28/04/2020,24101.55
29/04/2020,24633.86
30/04/2020,24345.72
01/05/2020,23723.69
04/05/2020,23749.76
05/05/2020,23883.09
06/05/2020,23664.64
07/05/2020,23875.89
08/05/2020,24331.32
11/05/2020,24221.99
12/05/2020,23764.78
13/05/2020,23247.97
14/05/2020,23625.34
15/05/2020,23685.42
18/05/2020,24597.37
19/05/2020,24206.86
20/05/2020,24575.9
21/05/2020,24474.12
22/05/2020,24465.16
26/05/2020,24995.11
27/05/2020,25548.27
28/05/2020,25400.64
29/05/2020,25383.11
01/06/2020,25475.02
02/06/2020,25742.65
03/06/2020,26269.89
04/06/2020,26281.82
05/06/2020,27110.98
08/06/2020,27572.44
09/06/2020,27272.3
10/06/2020,26989.99
11/06/2020,25128.17
12/06/2020,25605.54
15/06/2020,25763.16
16/06/2020,26289.98
17/06/2020,26119.61
18/06/2020,26080.1
19/06/2020,25871.46
22/06/2020,26024.96
23/06/2020,26156.1
24/06/2020,25445.94
25/06/2020,25745.6
26/06/2020,25015.55
29/06/2020,25595.8
30/06/2020,25812.88
01/07/2020,25734.97
02/07/2020,25827.36
06/07/2020,26287.03
07/07/2020,25890.18
08/07/2020,26067.28
09/07/2020,25706.09
10/07/2020,26075.3
13/07/2020,26085.8
14/07/2020,26642.59
15/07/2020,26870.1
16/07/2020,26734.71
17/07/2020,26671.95
20/07/2020,26680.87
21/07/2020,26840.4
22/07/2020,27005.84
23/07/2020,26652.33
24/07/2020,26469.89
27/07/2020,26584.77
28/07/2020,26379.28
29/07/2020,26539.57
30/07/2020,26313.65
31/07/2020,26428.32
03/08/2020,26664.4
04/08/2020,26828.47
05/08/2020,27201.52
06/08/2020,27386.98
07/08/2020,27433.48
10/08/2020,27791.44
11/08/2020,27686.91
12/08/2020,27976.84
13/08/2020,27896.72
14/08/2020,27931.02
17/08/2020,27844.91
18/08/2020,27778.07
19/08/2020,27692.88
20/08/2020,27739.73
21/08/2020,27930.33
24/08/2020,28308.46
25/08/2020,28248.44
26/08/2020,28331.92
27/08/2020,28492.27
28/08/2020,28653.87
31/08/2020,28430.05
01/09/2020,28645.66
02/09/2020,29100.5
03/09/2020,28292.73
04/09/2020,28133.31
08/09/2020,27500.89
09/09/2020,27940.47
10/09/2020,27534.58
11/09/2020,27665.64
14/09/2020,27993.33
15/09/2020,27995.6
16/09/2020,28032.38
17/09/2020,27901.98
18/09/2020,27657.42
21/09/2020,27147.7
22/09/2020,27288.18
23/09/2020,26763.13
24/09/2020,26815.44
25/09/2020,27173.96
28/09/2020,27584.06
29/09/2020,27452.66
30/09/2020,27781.7
01/10/2020,27816.9
02/10/2020,27682.81
05/10/2020,28148.64
06/10/2020,27772.76
07/10/2020,28303.46
08/10/2020,28425.51
09/10/2020,28586.9
12/10/2020,28837.52
13/10/2020,28679.81
14/10/2020,28514
15/10/2020,28494.2
16/10/2020,28606.31
19/10/2020,28195.42
20/10/2020,28308.79
21/10/2020,28210.82
22/10/2020,28363.66
23/10/2020,28335.57
26/10/2020,27685.38
27/10/2020,27463.19
28/10/2020,26519.95
29/10/2020,26659.11
30/10/2020,26501.6
02/11/2020,26925.05
03/11/2020,27480.03
04/11/2020,27847.66
05/11/2020,28390.18
06/11/2020,28323.4
09/11/2020,29157.97
10/11/2020,29420.92
11/11/2020,29397.63
12/11/2020,29080.17
13/11/2020,29479.81
16/11/2020,29950.44
17/11/2020,29783.35
18/11/2020,29438.42
19/11/2020,29483.23
20/11/2020,29263.48
23/11/2020,29591.27
24/11/2020,30046.24
25/11/2020,29872.47
27/11/2020,29910.37
30/11/2020,29638.64
01/12/2020,29823.92
02/12/2020,29883.79
03/12/2020,29969.52
04/12/2020,30218.26
07/12/2020,30069.79
08/12/2020,30173.88
09/12/2020,30068.81
10/12/2020,29999.26
11/12/2020,30046.37
14/12/2020,29861.55
15/12/2020,30199.31
16/12/2020,30154.54
17/12/2020,30303.37
18/12/2020,30179.05
21/12/2020,30216.45
22/12/2020,30015.51
23/12/2020,30129.83
24/12/2020,30199.87
28/12/2020,30403.97
29/12/2020,30335.67
30/12/2020,30409.56
31/12/2020,30606.48
